run,time,timesteps,X:VCD,X:Glc,X:Lac,X:Titer,F:Glc
16,11,11.0,5.790871214585508,39.994425002063046,171.6202197084696,1366.0731654606918,0.0
16,12,12.0,4.260244021180679,35.21150919665959,178.80414606777885,1451.8466888503856,0.0
16,13,13.0,3.1169143635503187,31.70275986954499,184.07514274552705,1515.2604764829132,0.0
16,14,14.0,2.270029804060761,29.141808096906807,187.9228875779974,1561.7722515588664,0.0
17,0,0.0,0.5867346938775511,13.571428571428571,0.0,0.0,0.0
17,1,1.0,1.736335129735039,12.551580571584513,1.5356310257379326,0.2154947626922244,18.92857142857143
17,2,2.0,4.523534227318382,11.851325493866868,5.791654831014573,2.4002952868721814,18.92857142857143
17,3,3.0,9.59695239936751,24.181503320847803,15.71601310813908,16.713244217517403,18.92857142857143
17,4,4.0,15.120833407266275,31.16153260530006,33.67056348808832,80.09879391202226,18.92857142857143
17,5,5.0,18.080074125012164,33.90854735313779,57.97990607292464,228.2365686728776,18.92857142857143
17,6,6.0,17.910015619037182,35.37482967516395,84.21116950461504,442.6138615666333,18.92857142857143
17,7,7.0,15.79259026134396,38.04738436063867,108.62860066465907,676.5028921408751,18.92857142857143
17,8,8.0,12.92969265221648,43.18207674665352,129.34512444404743,893.879903899134,18.92857142857143
17,9,9.0,10.010464600959583,51.12154083693802,145.84645689398528,1076.976508973668,18.92857142857143
17,10,10.0,7.272135845038963,61.777465703029655,158.2665494625811,1219.8048039831613,18.92857142857143
17,11,11.0,4.722957808494762,74.9700024740705,166.8769755632019,1321.1276155902149,0.0
17,12,12.0,2.6075073650811422,86.57713644381283,172.06850550675586,1383.089762328167,0.0
17,13,13.0,1.3796533031308025,84.72818438153979,174.84355212942052,1416.4512256890605,0.0
17,14,14.0,0.736357009969941,83.74572058218739,176.3181225767513,1434.2387995215795,0.0
18,0,0.0,0.6602040816326531,23.57142857142857,0.0,0.0,0.0
18,1,1.0,2.013399445165291,22.40060810314452,1.76005174876884,0.1399361795498808,0.0
18,2,2.0,5.332240602564793,19.081067195054263,6.751392498068576,2.3562382868071845,12.193877551020408
18,3,3.0,10.748125375710597,13.09910902005465,18.18813339322877,22.702014244288435,12.193877551020408
18,4,4.0,15.72112085579533,12.470793453585122,37.494499745588925,102.1842377061296,12.193877551020408
18,5,5.0,17.719074005687766,8.415590516310601,61.98503045532675,261.5974139493828,12.193877551020408
18,6,6.0,16.644492001986585,4.0513212092310695,87.03287828072145,463.7842400599031,12.193877551020408
18,7,7.0,13.708503756441786,1.8636936511294977,109.020296059349,645.9704415441369,12.193877551020408
18,8,8.0,10.584056011551189,2.7275893998938248,126.43803483709794,790.945885134553,0.0
18,9,9.0,7.140938591166055,-4.548265871605728e-11,139.2520278766148,827.1313332218451,0.0
18,10,10.0,4.574477283065097,2.138741958264432e-08,147.55505528010295,827.1313331909358,0.0
18,11,11.0,2.915210544626931,1.4055338597284147e-09,152.860153213784,827.1313332158825,0.0
18,12,12.0,1.851997725058026,-8.23096892492106e-09,156.23556522743166,827.1313332281894,0.0
18,13,13.0,1.174298649800209,-1.0333416197054986e-08,158.37783636363312,827.1313332309244,0.0
18,14,14.0,0.7437040795279026,1.50321019565108e-08,159.73537414757294,827.131333199174,0.0
19,0,0.0,0.8255102040816327,77.85714285714286,0.0,0.0,0.0
19,1,1.0,2.5652700573409954,76.37024554883087,2.231792148960206,0.0982774718630308,0.0
19,2,2.0,6.585087208449084,72.18791277281011,8.509515354077317,2.9640671138516077,17.704081632653065
19,3,3.0,12.085841982529498,76.38997609907705,21.99823537718915,29.49291252873718,17.704081632653065
19,4,4.0,14.959728884607916,80.77719685708087,41.98618981253689,118.41443511710264,17.704081632653065
19,5,5.0,13.770217401327978,84.43172013423055,63.07330467265178,260.39748998397897,17.704081632653065
19,6,6.0,10.425172277466578,90.44801295960208,80.61506392152083,405.3691501460108,17.704081632653065
19,7,7.0,6.90816048850814,99.87830192941998,93.03232059672617,519.243651659709,17.704081632653065
19,8,8.0,4.214671202219035,112.32596108397128,100.92069974373877,595.6397918986712,17.704081632653065
19,9,9.0,2.4647244287051326,126.89262772461947,105.62880500133566,642.5890861011718,0.0
19,10,10.0,1.4133522049635796,132.6633476453041,108.35403402104632,670.2014699737713,0.0
19,11,11.0,0.8032139906714557,131.62664907933848,109.90966974406328,686.0986111977426,0.0
19,12,12.0,0.4542552441170608,131.0389285536558,110.79158614358174,695.1535185578135,0.0
19,13,13.0,0.2562129935175191,130.70701195404837,111.28965130927718,700.2807784384723,0.0
19,14,14.0,0.1442923240083599,130.5199414174624,111.57036451154173,703.1747638777586,0.0
20,0,0.0,0.6785714285714286,37.85714285714286,0.0,0.0,0.0
20,1,1.0,2.1043625243445305,36.64045005548143,1.8274892183336493,0.096543133328926,0.0
20,2,2.0,5.637694604846371,33.14212660430171,7.082500472881239,2.183964813122781,18.316326530612244
20,3,3.0,11.463277877267812,39.821801899631225,19.22804254532524,22.857004328628367,18.316326530612244
20,4,4.0,16.721218746432406,44.426389111034055,39.81976314831935,108.40555523432349,18.316326530612244
20,5,5.0,18.659511588474317,45.48826537249568,65.73012011743617,283.25548541401645,18.316326530612244
20,6,6.0,17.559377254979236,46.25359597875128,92.08536982347428,511.9220851697445,18.316326530612244
20,7,7.0,14.878604175444416,48.942849249904015,115.5507411719578,744.9229582381107,18.316326530612244
20,8,8.0,11.713262976464614,54.49678721807332,134.71297998891413,950.5102594071108,18.316326530612244
20,9,9.0,8.576373985045151,63.09365659551101,149.30468667773644,1114.6031111767245,0.0
20,10,10.0,5.695867421532996,68.62671498648639,159.51464401476474,1232.8204638593618,0.0
20,11,11.0,3.7769412060236167,64.15729889405277,166.2238189773082,1311.8030225601826,0.0
20,12,12.0,2.5621479759605683,61.158671904445455,170.72534942268427,1365.3100104676664,0.0
20,13,13.0,1.7600678297617145,59.11134522492226,173.79889310618046,1402.0673256467828,0.0
20,14,14.0,1.2178732716357723,57.69973114768724,175.91812700229636,1427.5135798229862,0.0
21,0,0.0,0.2377551020408163,12.142857142857142,0.0,0.0,0.0
21,1,1.0,0.7107739396107344,11.728811614120731,0.6236702590758352,0.0725621984430724,0.0
21,2,2.0,2.006488953155394,10.526708362164216,2.434935116572997,0.5249715962026786,5.153061224489796
21,3,3.0,4.987199174549037,11.823936065014282,7.21465435914048,3.7485044678339214,5.153061224489796
21,4,4.0,9.837366280643243,9.9867093848681,17.747055375384917,23.666942508621,5.153061224489796
21,5,5.0,14.117054500398568,3.527650964470791,35.30249939434524,96.49682473296144,5.153061224489796
21,6,6.0,12.181218845613987,0.039110693380992,55.09896084345597,147.36563262517976,5.153061224489796
21,7,7.0,8.891172295698944,0.0740686524226638,70.18088951319118,159.52813064573155,5.153061224489796
21,8,8.0,6.420147977586138,0.1970634008058259,81.10235830925895,177.42728157370402,0.0
21,9,9.0,4.515881438570136,1.001514491359942e-09,88.96331525060634,188.20107308924824,0.0
21,10,10.0,3.061594208041296,-3.1865692491408715e-08,94.354772417401,188.201074552846,0.0
21,11,11.0,2.0622407350911995,-2.5465103928877436e-08,97.99822141689197,188.20107522676395,0.0
21,12,12.0,1.3833495331343546,-1.502671282941008e-08,100.44727649756078,188.2010749844633,0.0
21,13,13.0,0.9254625686110528,4.070989373425728e-09,102.08787962557354,188.20107496105248,0.0
21,14,14.0,0.6180513090924857,9.748922548975324e-09,103.18447471820583,188.20107492458789,0.0
22,0,0.0,0.9540816326530612,49.285714285714285,0.0,0.0,0.0
22,1,1.0,2.935197745587563,47.57766839110062,2.564714150627705,0.1712002535838457,0.0
22,2,2.0,7.443829782324162,42.827342222131264,9.698092413437026,4.409447434271593,19.54081632653061
22,3,3.0,13.698281664815346,40.07947859315886,24.90551798782273,40.2117189437954,19.54081632653061
22,4,4.0,18.118923409828184,44.09101643726781,48.226838785509926,158.02616447802944,19.54081632653061
22,5,5.0,18.885462716818623,45.61465407086163,75.28269339628974,361.029030061844,19.54081632653061
22,6,6.0,16.996022232828437,47.8032929787627,101.33892986734097,600.7603164943968,19.54081632653061
22,7,7.0,13.922100232404588,52.46926448070904,123.67360962804732,830.3915537266499,19.54081632653061
22,8,8.0,10.55632862278994,60.267139976300406,141.30379552779308,1023.7664571000388,0.0
22,9,9.0,7.547981868224557,57.2516319994029,154.2133703339403,1170.958272510988,0.0
22,10,10.0,5.481725257587315,51.06156420990074,163.50705384406473,1279.2938283038427,0.0
22,11,11.0,4.00456745358395,46.55059000488978,170.2804520817478,1359.3460306417771,0.0
22,12,12.0,2.926617538483164,43.25408182352769,175.23072296416083,1418.3797545476075,0.0
22,13,13.0,2.136216277143064,40.84636397450684,178.84659527813392,1461.7602937283757,0.0
22,14,14.0,1.5569290531052395,39.0902725509931,181.4840282310797,1493.5318561054369,0.0
23,0,0.0,0.7520408163265306,15.0,0.0,0.0,0.0
23,1,1.0,2.2226829147765503,13.691182507873563,1.970073616781289,0.2845927683193138,9.744897959183676
23,2,2.0,5.634615901638386,13.603031166606009,7.343763333863976,3.5772585046908385,9.744897959183676
23,3,3.0,11.083980847810215,15.443825686584898,19.23932086103616,26.350106986511108,9.744897959183676
23,4,4.0,15.947030934009442,12.07506124525969,38.980189461996254,110.56427187414636,9.744897959183676
23,5,5.0,17.61033568550751,5.513591329927853,63.58466539499791,273.64507906049346,9.744897959183676
23,6,6.0,15.070374275802028,0.1042537521634592,87.78213846810773,426.8608390917094,9.744897959183676
23,7,7.0,10.616008626773787,0.3995811030751378,106.05797191147455,471.6305757421424,9.744897959183676
23,8,8.0,7.892320432015689,1.892520575603464,119.21035464050776,554.2802941543973,9.744897959183676
23,9,9.0,6.137392063191936,5.058166779840032,129.2419213398226,646.1199059838742,9.744897959183676
23,10,10.0,4.808976332778405,9.611855838942471,137.0851410343928,726.5921911134365,9.744897959183676
23,11,11.0,3.753406843654329,15.282698204613792,143.22161760254548,792.7830658979381,0.0
23,12,12.0,2.911136274504432,19.068584767556548,147.99713400350635,845.7435761522207,0.0
23,13,13.0,2.240194172780749,16.615340010021626,151.68733010996542,887.03422003118,0.0
23,14,14.0,1.7121603923422255,14.73463002213296,154.5174046796089,918.7654349736108,0.0
24,0,0.0,0.4397959183673469,29.285714285714285,0.0,0.0,0.0
24,1,1.0,1.3696100646468723,28.497483199187567,1.1843929364707206,0.0539259894864722,0.0
24,2,2.0,3.8561839471563424,26.166269256621607,4.687614702292023,0.9144195390093256,0.0
24,3,3.0,8.706725950435615,20.32284123566587,13.471711200654,10.811611861298871,19.23469387755102
24,4,4.0,14.325725870090205,21.59675076742395,30.152158202323196,63.8316344975858,19.23469387755102
24,5,5.0,17.773283896720432,25.200789468346656,53.64761615399888,197.90776164616156,19.23469387755102
24,6,6.0,18.06769775222071,27.03952992886496,79.79146913127288,403.4546493204339,19.23469387755102
24,7,7.0,16.225381710407177,29.727035456978346,104.65627619757868,636.011611841491,19.23469387755102
24,8,8.0,13.493285831586292,34.686922534415295,126.102101615773,857.5960919673319,19.23469387755102
24,9,9.0,10.653064624632902,42.35659718169892,143.47244557870525,1048.4197459779746,19.23469387755102
24,10,10.0,8.031262490817603,52.65388352472975,156.8928586521602,1201.815972170374,19.23469387755102
24,11,11.0,5.642973627935525,65.34503614825559,166.71660096553066,1317.0766872210938,0.0
24,12,12.0,3.720427594545645,63.67223546786046,173.35178992270042,1396.1959605505538,0.0
24,13,13.0,2.5042590640316416,60.729153502403975,177.76996223692558,1449.34286547563,0.0
24,14,14.0,1.7066693979535352,58.73550701490045,180.76293542676808,1485.5444241251,0.0
25,0,0.0,0.6051020408163265,19.285714285714285,0.0,0.0,0.0
25,1,1.0,1.831661993471653,18.218448149417423,1.6051689552502968,0.1488968426002463,0.0
25,2,2.0,4.864023510921502,15.198870997033518,6.148125734973927,2.1363901605442503,12.5
25,3,3.0,9.930551342457608,9.118319584662403,16.654099680853637,20.06447983811344,12.5
25,4,4.0,14.809763924387669,9.67417435694162,34.6617064296264,90.55240537438677,12.5
25,5,5.0,17.029912868252545,6.720996836373967,57.98204500937583,235.60598703099288,12.5
25,6,6.0,16.180803393737218,3.2371201811190686,82.21275733451648,423.2614600854026,12.5
25,7,7.0,13.403683306602645,1.7674253000997513,103.64124752747828,593.0528478020631,12.5
25,8,8.0,10.514369134195803,3.096799852698831,120.7907942296243,735.9322485498215,12.5
25,9,9.0,8.233235896296009,6.740318803392029,134.22504872757747,866.4028538795393,12.5
25,10,10.0,6.404050208501127,12.284292791783336,144.7171746614964,977.6367737152322,12.5
25,11,11.0,4.930719159447153,19.38735008771711,152.83904340685055,1067.824962453259,0.0
25,12,12.0,3.75681229212451,19.0758753959326,159.0613586295948,1138.6188649485266,0.0
25,13,13.0,2.834032687443874,15.939765275773595,163.77899467050185,1192.5722279690133,0.0
25,14,14.0,2.1212443276095008,13.584362321873874,167.32409142992333,1233.1451851508086,0.0
26,0,0.0,0.1459183673469387,52.142857142857146,0.0,0.0,0.0
26,1,1.0,0.4696722470533013,51.87678303787982,0.3994948469720039,0.0042881360888863,6.377551020408164
26,2,2.0,1.4561938718119172,56.82775363178779,1.661251974096377,0.0592508763050975,6.377551020408164
26,3,3.0,4.0588196249790425,60.73678840021239,5.367148633866437,0.9640889037127178,6.377551020408164
26,4,4.0,8.960257232467189,61.02750581574845,14.504846841060417,11.272314711915966,6.377551020408164
26,5,5.0,14.32252420003079,56.141151065014064,31.41507414603351,65.24090400860909,6.377551020408164
26,6,6.0,17.340623407850977,47.09098196226866,54.579086019376255,199.11641920516416,6.377551020408164
26,7,7.0,17.482315254066386,36.57308169377279,79.9527135536525,399.9686824499519,6.377551020408164
26,8,8.0,15.70540722338318,26.939997764408208,104.00684281475311,624.9371208884993,6.377551020408164
26,9,9.0,13.102665888587442,19.489327643878923,124.79443038724182,837.7045342412762,6.377551020408164
26,10,10.0,10.41173106411626,14.625819017420724,141.70614930381197,1019.380011718958,0.0
26,11,11.0,8.007122952658555,10.534644473008068,154.92205975175247,1164.965006434522,0.0
26,12,12.0,5.971776698009675,3.902063141568616,164.9454589175077,1273.0926302788698,0.0
26,13,13.0,4.089611299777698,3.769402784461239e-08,172.21151055023373,1321.6471387893089,0.0
26,14,14.0,2.5642856947400703,7.109146194047227e-10,176.91828249846327,1321.6471388284865,0.0
27,0,0.0,0.7704081632653061,69.28571428571429,0.0,0.0,0.0
27,1,1.0,2.402419767088169,67.89674058589631,2.084979353592616,0.0878225991914396,0.0
27,2,2.0,6.297319810249512,63.93955580885,8.02526025738114,2.598716401411756,0.0
27,3,3.0,12.189558453535373,55.1356728986537,21.24219521746068,27.49351628412468,7.60204081632653
27,4,4.0,17.06619513649303,42.06045298055078,42.6221029899268,122.9197847959354,7.60204081632653
27,5,5.0,18.70867936654905,32.242839435892606,68.78690652292042,306.25956485197105,7.60204081632653
27,6,6.0,17.545164525679333,22.305461660284536,95.144886805271,538.5523843975952,7.60204081632653
27,7,7.0,14.934885686357042,14.294856557656928,118.6292706782748,771.0015711240188,7.60204081632653
27,8,8.0,11.938053269018036,9.05322540809847,137.97979080060438,972.9795969708636,7.60204081632653
27,9,9.0,9.14644816722785,6.631446378152623,153.11433948985442,1133.6035037519405,7.60204081632653
27,10,10.0,6.829786629575595,6.666215005847709,164.55306146455163,1256.3882211036764,7.60204081632653
27,11,11.0,5.039517886730726,8.648856271924538,173.0389295468825,1350.0861146051254,0.0
27,12,12.0,3.674374985371975,4.9895262283420845,179.27134850973104,1419.1610914474336,0.0
27,13,13.0,2.613674205250555,2.036965435356033,183.7674107555054,1464.8907009880863,0.0
27,14,14.0,1.7555457320823524,0.1007514160338244,186.8972852121744,1485.787184351455,0.0
28,0,0.0,0.3295918367346939,73.57142857142857,0.0,0.0,0.0
28,1,1.0,1.0549447231906828,72.97083549940808,0.9015043761655692,0.0126533176657551,0.0
28,2,2.0,3.092879751946474,71.13260790264364,3.660759321486756,0.3472668569092342,0.0
28,3,3.0,7.400291527963776,66.28814172410613,10.932748701858213,5.593270780876851,11.887755102040815
28,4,4.0,12.874736751659682,65.61775936023557,25.59532833273104,41.620816399938754,11.887755102040815
28,5,5.0,16.188860222301606,63.30310547931713,46.91541145142768,148.1683177608854,11.887755102040815
28,6,6.0,16.3963734373757,59.35132975200897,70.69408197440852,321.18113188059937,11.887755102040815
28,7,7.0,14.662473656417792,56.2419087734415,93.20934956911756,520.9120852522797,11.887755102040815
28,8,8.0,12.144870975339773,55.244796532022754,112.55404539860012,712.557712617836,0.0
28,9,9.0,9.574816991024228,51.161807779044935,128.15417006376418,877.5611924362244,0.0
28,10,10.0,7.468532478222666,43.02557043102334,140.37151602799662,1011.980207965922,0.0
28,11,11.0,5.764580898373997,36.71087896180718,149.8554573435346,1118.9300351483382,0.0
28,12,12.0,4.401458947696927,31.86357898927698,157.13702802385004,1202.3538880197807,0.0
28,13,13.0,3.3303879006271453,28.179831411439977,162.67186368022865,1266.413088063398,0.0
28,14,14.0,2.50213740194234,25.402884469479226,166.84506480936673,1315.0267576919566,0.0
29,0,0.0,0.7887755102040815,30.714285714285715,0.0,0.0,0.0
29,1,1.0,2.415595488996782,29.309420461084077,2.110809300017512,0.1547975981384983,0.0
29,2,2.0,6.280321896876339,25.357631008361977,8.049355688547944,3.1769560938093537,15.86734693877551
29,3,3.0,12.140789960745929,16.756588025598614,21.225276707000923,30.09368197285422,15.86734693877551
29,4,4.0,16.933189047506794,18.49641575193948,42.47527094294394,127.19132963500591,15.86734693877551
29,5,5.0,18.50258598646257,17.13331533104121,68.39305846801436,308.3552836832834,15.86734693877551
29,6,6.0,17.3078046721993,15.69985312554378,94.42379997633876,535.4051837372899,15.86734693877551
29,7,7.0,14.750020535773263,16.170103574791263,117.592895387189,763.2463406605001,15.86734693877551
29,8,8.0,11.88680894201438,19.2918562477725,136.76622111173637,966.1113146600492,0.0
29,9,9.0,9.248662125057807,20.20950903124745,151.9405372302111,1134.728381800677,0.0
29,10,10.0,7.011895250729005,12.462931073817272,163.59665971115302,1266.6999669909528,0.0
29,11,11.0,5.197999575537997,6.666001791095559,172.33898667525992,1364.6885095575656,0.0
29,12,12.0,3.750752780939155,2.4461331600194627,178.74400176475268,1431.8733168756812,0.0
29,13,13.0,2.507520645774223,3.876517589643115e-05,183.24341779967085,1458.801201001433,0.0
29,14,14.0,1.56331289639946,-7.382204132368914e-09,186.12144819875508,1458.8012493552756,0.0
30,0,0.0,0.1091836734693877,22.142857142857142,0.0,0.0,0.0
30,1,1.0,0.3420771337021385,21.947277854433228,0.2940343230332111,0.010861534203527,19.846938775510203
30,2,2.0,1.051383729822549,35.7197537963466,1.2052678904326315,0.0610816594403022,19.846938775510203
30,3,3.0,3.0385731444955417,53.75405190118045,3.927192109811737,0.5047368510233432,19.846938775510203
30,4,4.0,7.256162551539214,68.84501706701374,11.066867144624007,5.895578435227992,19.846938775510203
30,5,5.0,12.220565558751618,79.24537652751859,25.246210984635884,40.36278762886426,19.846938775510203
30,6,6.0,14.067326077122535,86.13893915368396,44.68799803471725,134.3399857205188,19.846938775510203
30,7,7.0,12.205349410451722,93.16268131622073,63.93355424671114,267.12787817512765,19.846938775510203
30,8,8.0,8.832982243000389,102.88588673150498,79.12694881485538,392.4488453493042,0.0
30,9,9.0,5.797641060611269,99.98936358027032,89.55307704915222,486.689187276504,0.0
30,10,10.0,3.6811354429659593,95.5110955279099,96.27391572635678,550.4547814456641,0.0
30,11,11.0,2.307580239729228,92.68741602869883,100.51168571104262,591.7596119950056,0.0
30,12,12.0,1.4400165900646598,90.92177080023046,103.1615960402714,617.992993202533,0.0
30,13,13.0,0.8973918011359798,89.82081659700815,104.81394104777934,634.5027058510886,0.0
30,14,14.0,0.5590857306598538,89.13484997595477,105.84346595811088,644.8470294849741,0.0
31,0,0.0,0.5683673469387756,20.714285714285715,0.0,0.0,0.0
31,1,1.0,1.7306000874909389,19.708516700765063,1.5123864811515266,0.1235540088286044,0.0
31,2,2.0,4.653286128694016,16.836112725875388,5.832806817920165,1.819985687722594,6.683673469387755
31,3,3.0,9.715484438617583,11.379488291611716,15.999139529612156,17.771394752975016,6.683673469387755
31,4,4.0,14.620346035612211,6.288757715718414,33.76113209641231,85.82834823277447,6.683673469387755
31,5,5.0,14.62364493290606,0.0451085919545956,55.95013677370283,186.12506390389856,6.683673469387755
31,6,6.0,10.646002916750634,0.0912775481677751,74.0389415964587,203.18579546204344,6.683673469387755
31,7,7.0,7.682323737838881,0.2871346645395741,87.10264295760294,230.32740623589748,6.683673469387755
31,8,8.0,5.806869490314399,1.1295746126162085,96.695844057179,278.19924044754043,6.683673469387755
31,9,9.0,4.653301408127159,2.964381566715504,104.17176746901475,336.5420694883871,6.683673469387755
31,10,10.0,3.8150564883968014,5.649098912407782,110.24409414096668,391.77932749989503,0.0
31,11,11.0,3.132589091369125,6.1665751607290575,115.2342789760003,440.0582044000234,0.0
31,12,12.0,2.514550160205851,3.488557940246624,119.29403913110497,478.6803443435234,0.0
31,13,13.0,1.941135389934981,1.3982188839869936,122.49814602383134,506.31704436412736,0.0
31,14,14.0,1.3704669031905647,0.0195439111284257,124.8864599703609,518.1683959761588,0.0
32,0,0.0,0.9173469387755102,60.71428571428572,0.0,0.0,0.0
32,1,1.0,2.83600739224256,59.06706068565171,2.4729004636024667,0.1411587988659736,0.0
32,2,2.0,7.236252653200822,54.46063992989711,9.388621236780692,3.929289650302697,0.0
32,3,3.0,13.4283320060072,44.57208459444602,24.23648203133068,37.34352491842542,18.01020408163265
32,4,4.0,17.98271842497407,35.321557458121006,47.23913625966806,151.39389054372236,18.01020408163265
32,5,5.0,19.01039902368792,35.32853963441551,74.28210569774926,352.1254980226313,18.01020408163265
32,6,6.0,17.376844156545257,35.74752357956271,100.70620349147816,593.5641025460709,18.01020408163265
32,7,7.0,14.546461182722105,38.407678460442106,123.7625654464185,829.5782090293145,18.01020408163265
32,8,8.0,11.495416332120303,43.93961010348848,142.5029345911315,1034.73503368575,18.01020408163265
32,9,9.0,8.663095335517847,52.3085235558314,156.9800677354106,1200.0778394810889,18.01020408163265
32,10,10.0,6.131937071534761,63.24507600897093,167.59983775313648,1324.764666117465,18.01020408163265
32,11,11.0,3.861958969600982,76.48513136013258,174.76024777069264,1410.3565503819016,0.0
32,12,12.0,2.088481780019345,85.08676539696637,178.95279097646105,1461.0252773675716,0.0
32,13,13.0,1.104722435526554,83.60591847409536,181.17537960395143,1488.029522769075,0.0
32,14,14.0,0.5889172173054322,82.8196145081564,182.3555419385337,1502.404784914852,0.0
33,0,0.0,0.2193877551020408,16.42857142857143,0.0,0.0,0.0
33,1,1.0,0.671580215705237,16.040795153000268,0.5834559284196179,0.0414842859913201,0.0
33,2,2.0,1.94956352822404,14.88534633732655,2.3222360107031963,0.3417614166522319,0.0
33,3,3.0,4.945572928073752,11.757008983009618,7.032436704875485,3.180351568625262,9.43877551020408
33,4,4.0,9.633479464297492,6.885686621126936,17.43556941043003,23.83661213306844,9.43877551020408
33,5,5.0,13.85010378201963,4.994361195275856,34.56862556858785,94.51360729002204,9.43877551020408
